,x,n,u,T,q
0,-0.9899497487437185,1.0000000000000004,5.771316975111922e-17,1.0000000000000075,4.720098273364874e-16
1,-0.9698492462311559,1.0000000000000004,1.132243209823776e-16,1.000000000000007,1.249179497101256e-15
2,-0.949748743718593,1.0000000000000002,2.797577746761513e-16,1.0000000000000067,3.1365586389640253e-15
3,-0.9296482412060301,1.0000000000000002,7.238503726580036e-16,1.0000000000000053,7.910504092325059e-15
4,-0.9095477386934674,1.0000000000000002,1.7785656341836935e-15,1.000000000000002,1.917925423974328e-14
5,-0.8894472361809045,0.9999999999999994,4.33208536708514e-15,0.9999999999999947,4.615766018560752e-14
6,-0.8693467336683418,0.9999999999999981,1.054936479817215e-14,0.9999999999999762,1.089407857806875e-13
7,-0.8492462311557789,0.9999999999999949,2.514886533462888e-14,0.9999999999999336,2.5321425427819996e-13
8,-0.829145728643216,0.9999999999999871,5.895531228852789e-14,0.9999999999998366,5.785096411509535e-13
9,-0.8090452261306533,0.9999999999999694,1.3606065710258646e-13,0.9999999999996173,1.301486942549494e-12
10,-0.7889447236180904,0.9999999999999286,3.094783067006836e-13,0.9999999999991319,2.883110812508297e-12
11,-0.7688442211055275,0.9999999999998375,6.935617611678279e-13,0.9999999999980714,6.290885254914758e-12
12,-0.7487437185929648,0.9999999999996357,1.531784085157539e-12,0.9999999999957901,1.3524377746425623e-11
13,-0.728643216080402,0.9999999999991956,3.33540541080152e-12,0.9999999999909527,2.865422169800793e-11
14,-0.7085427135678393,0.9999999999982484,7.161529598661457e-12,0.9999999999808407,5.984644193214995e-11
15,-0.6884422110552764,0.999999999996238,1.51667196154342e-11,0.999999999959998,1.2324390628016752e-10
16,-0.6683417085427135,0.9999999999920278,3.1688193352795e-11,0.9999999999176308,2.503015705695753e-10
17,-0.6482412060301508,0.9999999999833278,6.533071975735495e-11,0.999999999832677,5.014389495421896e-10
18,-0.6281407035175879,0.9999999999655804,1.329350743635786e-10,0.9999999996646142,9.910817577477295e-10
19,-0.6080402010050252,0.9999999999298401,2.6702472894923345e-10,0.9999999993365322,1.932921381603707e-09
20,-0.5879396984924623,0.9999999998587672,5.295876700836284e-10,0.999999998704425,3.7205417897898605e-09
21,-0.5678391959798994,0.9999999997191773,1.0372419983359209e-09,0.9999999975022404,7.068993978801505e-09
22,-0.5477386934673367,0.9999999994483589,2.006565547635311e-09,0.9999999952449312,1.3259822293078944e-08
23,-0.5276381909547738,0.9999999989292749,3.834651601755409e-09,0.9999999910597959,2.4559005560917076e-08
24,-0.5075376884422111,0.9999999979461932,7.240332085739429e-09,0.9999999833972153,4.4919431933953114e-08
25,-0.4874371859296483,0.9999999961063116,1.3508465015481865e-08,0.9999999695415256,8.114422216953024e-08
26,-0.4673366834170854,0.9999999927030344,2.4906954970541016e-08,0.9999999447955137,1.4478483521200464e-07
